,cord_uid,sentence_id,section,sentence
19627,x3c7zjvg,x3c7zjvg1119627,Results,"Increased serum total bilirubin and creatinine were observed in 10.9% (42/387) and 12.3% (48/390) patients, respectively."
19633,x3c7zjvg,x3c7zjvg1419633,Results,"https://doi.org/10.1101/2020.03.19.20033175 doi: medRxiv preprint creatinine (28.6% vs. 6.8%, p<0.001) than survivors."
19668,x3c7zjvg,x3c7zjvg2019668,Discussion,"13, 14 Meanwhile, serum levels of some laboratory indexes such as total bilirubin, creatinine and hypersensitive troponin I were increased in patients on admission."
19674,x3c7zjvg,x3c7zjvg2119674,Discussion,"The main agents used included abidol, oseltamivir, ribavirin, ganciclovir, and recombinant interferon."
19675,x3c7zjvg,x3c7zjvg2119675,Discussion,"Remdesivir and chloroquine are considered two promising agents for SARS-CoV-2 infection, 15 which were given to some patients in randomized, double-blind, placebo-controlled clinical trials."
19676,x3c7zjvg,x3c7zjvg2119676,Discussion,"However, it's hardly to assess the efficacy and safety of remdesivir and chloroquine until results of the trials are released."
19744,std4jddn,std4jddn519744,Introduction,"Therefore, several critical issues still remain mysterious, i.e., prognostic factors for COVID-19 including extrinsic factors as viral load of SARS-CoV-2 and intrinsic factors as individual's health conditions, including those identified as candidate risk factors (older age, underlying comorbidities, higher levels of white blood cell and neutrophils counts, D-dimer, creatine kinase, and creatine)."
19966,6rs86u5v,6rs86u5v019966,Introduction:,"To date, the 2019 novel coronavirus pneumonia (COVID-19) is the greatest public health problem in the world."
19984,6rs86u5v,6rs86u5v419984,Introduction:,"Interestingly, the levels of serum biomarkers reflecting glomerular filtration function (including cystatin C (CysC), creatinine (CREA), and urea) in severe COVID-19 patients were significantly higher than those in mild patients."
19985,6rs86u5v,6rs86u5v419985,Introduction:,"It has been demonstrated that serum urea, CREA and CysC"
19987,6rs86u5v,6rs86u5v919987,Result,"The copyright holder for this preprint (which was not peer-reviewed) is Glomerular filtration function markers, such as serum urea, CREA and CysC, were significantly higher in severe COVID-19 patients than in mild COVID-19 patients (P<0.001) ( Figure 3A , B, C)."
20002,6rs86u5v,6rs86u5v1320002,Discussion,"We also found that serum urea, CREA, and CysC, which are biochemical markers of renal function, were significantly elevated in severe COVID-19 patients, suggesting that SARS-CoV-2 infection could damage the kidney, and this is consistent with part of the latest findings [9] ."
20008,6rs86u5v,6rs86u5v1620008,Discussion,"Herein, we found that some serum indicators of glomerular function, including urea, CREA, and CysC, were observably higher in severe COVID-19 patients than in mild COVID-19"
20010,6rs86u5v,6rs86u5v1720010,Discussion,"This result indicates that serum urea, CREA, and CysC could be used as potential biochemical biomarkers to identify a severe COVID-19 patient."
20388,9sr5b44k,9sr5b44k420388,59,"To date, little is known about the difference in viral load among severe and 61 mild cases."
20456,9sr5b44k,9sr5b44k1120456,Antiviral compounds,"The blue and the orange lines describe the infectiousness measure, respectively, before (dashed blue) and after antiviral injection (solid yellow)."
20457,9sr5b44k,9sr5b44k1120457,Antiviral compounds,The red arrows indicate the injection times.
20565,r2ad8nip,r2ad8nip020565,Introduction,"However, the follow-up of recovered patients has been limited to date."
20572,r2ad8nip,r2ad8nip120572,Introduction,All patients were orally informed that their clinical data would be used to perform this research to contribute to the deeper understanding of COVID-19 and that their private information would be strictly confidential.
20573,r2ad8nip,r2ad8nip120573,Introduction,"The RT-PCR results after recovery from COVID-19 were tracked, and the due date was Feb 29, 2020."
20584,r2ad8nip,r2ad8nip420584,Data collection,The date of the negative RT-PCR results was defined as the day of the first of two consecutive negative RT-PCR results.
20585,r2ad8nip,r2ad8nip420585,Data collection,The date of disease onset was defined as the day that symptoms or signs were first identified.
20759,qdmuhxaw,qdmuhxaw920759,Data Collection,"The clinical outcomes were monitored up to March 13, 2020, the final date of follow-up."
21164,lioj0tkn,lioj0tkn1121164,COVID-19 Daily questionnaire,"To this date, March 21st, 18pm, there have been 54,059 responses, including 50,572 (93.55%) adults and 3,488 (6.45%) children."
21165,lioj0tkn,lioj0tkn1121165,COVID-19 Daily questionnaire,"The characteristics of the responders are described in Table 1 , and by response date in Table S1 in the Appendix."
21288,p42cgpf0,p42cgpf02221288,Discussion,"https://doi.org/10.1101/2020.03.19.20038950 doi: medRxiv preprint For an entire contaminated or potentially contaminated city, continuous air detection must be carried out to effectively detect or trace the virus in the air, and a mask must be worn by any citizen, especially in public places."
21425,05m50voc,05m50voc1221425,Choice of model,"Using the discretization carried out in the previous study ""Mathematical-statistical modeling of COVID-19 on the restricted population"" [8] , a new C++ software was created to print the values of the S.E.I.R. day by day until a specific date and/or situation (2) ."
21482,9hknw4ws,9hknw4ws021482,title,"An exploratory randomized, controlled study on the efficacy and safety of lopinavir/ritonavir or arbidol treating adult patients hospitalized with mild/moderate COVID-19 (ELACOI)"
21484,9hknw4ws,9hknw4ws021484,abstract,"Our study (NCT04252885), designated as ELACOI, was an exploratory randomized (2:2:1) and controlled one, exploring the efficacy and safety of lopinavir/ritonavir (LPV/r"
21505,9hknw4ws,9hknw4ws2521505,Results,"The laboratory parameters of ALT, AST, TBIL and creatinine were normal when all patients began the antiviral treatment."
21512,9hknw4ws,9hknw4ws1921512,Statistical analyses,The aim of this study is to explore the efficacy and safety of Lopinavir/ritonavir (LPV/r
21541,9hknw4ws,9hknw4ws2921541,Efficacy outcomes,"Moreover, 6 (28.6%) patients in the LPV/r group, 2 (12.5%) patients in the arbidol group, and 2 (28.6%) patients in the control group used glucocorticoids (methylprednisolone 40 mg, once a day, for 3-5 days) without statistical difference among 3 groups (P=0.547)."
21548,9hknw4ws,9hknw4ws221548,Introduction,"Based on ""Diagnosis and treatment of pneumonitis caused by new coronavirus (trial version 6) "" issued by the National Health Commission of China on February 19 th , 2020, several drugs including lopinavir/ritonavir (LPV/r) and arbidol were recommended for treatment of COVID-19 as the antiviral regimens [5] ."
21549,9hknw4ws,9hknw4ws221549,Introduction,"Lopinavir is a human immunodeficiency virus 1 (HIV-1) protease inhibitor, usually combined with ritonavir for inhibiting cytochrome P450 in order 6 6 to increase the half-life of lopinavir [6] ."
21552,9hknw4ws,9hknw4ws421552,Introduction,"Meanwhile, the combination of LPV/r had been associated with significantly fewer adverse clinical outcomes (acute respiratory distress syndrome or death) in 41 patients with SARS compared with ribavirin alone in 111 historical controls (2.4% versus 28.8%, P= 0.001) within the 21 days after the onset of symptoms, despite lacking valid estimate of efficacy [9] ."
21633,9hknw4ws,9hknw4ws921633,Study design and participants,"https://doi.org/10.1101/2020.03.19.20038984 doi: medRxiv preprint lopinavir (200mg) boosted by ritonavir (50mg) (oral, q12h, 500 mg each time for 7-14 days) monotherapy."
21639,9hknw4ws,9hknw4ws1021639,Study design and participants,"All participants met the following inclusion criteria 1) age between 18 and 80 years old; 2) SARS-CoV-2 infection confirmed by real-time PCR (RT-PCR) from pharyngeal swab; 3) mild clinical status, defined as having mild clinical symptoms but no signs of pneumonia on imaging or moderate clinical status, defined as having fever, respiratory symptoms and pneumonia on imaging [5] ; 4) the following lab findings: creatinine ≤110μmol/L, creatinine clearance rate (eGFR) ≥60 ml/min/1.73m 2 , aspartate aminotransferase (AST) and alanine aminotransferase (ALT) ≤5 × ULN, and total bilirubin (TBIL"
21665,ptnmtvzj,ptnmtvzj021665,abstract,"The most common treatment was ribavirin (n=41), followed by oseltamivir (n=10) and the combination of lopinavir/ritonavir (n=7)."
21668,ptnmtvzj,ptnmtvzj021668,abstract,"One trial found that ribavirin prophylactic treatment statistically significantly reduced risk of MERS patients, one cohort study infection in people who had been exposed to the virus."
21676,ptnmtvzj,ptnmtvzj3621676,Special populations,The patients were all treated with oseltamivir and one patient required admission to the ICU due to worsening symptoms.
21678,ptnmtvzj,ptnmtvzj3621678,Special populations,"In a case series 36 of 4 pediatric patients with SARS, all 4 were treated with ribavirin and 2 patients required mechanical ventilation during the course of their illness."
21679,ptnmtvzj,ptnmtvzj3321679,Infection Prevention,One of the included trials 7 examined the effectiveness of ribavirin combined with lopinavir/ritonavir compared to no treatment as a prophylactic measure for healthcare workers highly exposed to MERS through unprotected exposure to a patient with pneumonia later .
21683,ptnmtvzj,ptnmtvzj3421683,Infection Prevention,https://doi.org/10.1101/2020.03.19.20039008 doi: medRxiv preprint confirmed to be caused by MERS-CoV. None of the subjects in the prophylaxis arm (ribavirin/lopinavir/ritonavir) developed MERS while 6 subjects in the control arm were infected with MERS as confirmed by rPT-PCR testing.
21688,ptnmtvzj,ptnmtvzj4821688,CONCLUSIONS,"Some important safety signals potentially related to ribavirin use were identified (anemia, altered liver function) but also require further investigation to clarify their relation to the drug."
21705,ptnmtvzj,ptnmtvzj3221705,Ongoing human trials for COVID-19,"All four trials are being carried out in China, three are investigating antiviral medications (lopinavir/ritonavir, arbidol (umifenovir), darunavir, cobicstat, and, ASC09/ritonavir) and one trial is investigating a combination of lopinavir/ritonavir with Traditional Chinese Medicines (TCM)."
21708,ptnmtvzj,ptnmtvzj3721708,Mortality,"Mortality was reported in two of the included trials (ribavirin), all 10 cohort studies (ribavirin, lopinavir/ritonavir, oseltamivir), all seven retrospective studies (ribavirin, lopinavir/ritonavir, oseltamivir), and 21 case reports or case series (ribavirin, oseltamivir, lopinavir/ritonavir)."
21710,ptnmtvzj,ptnmtvzj3721710,Mortality,"One cohort study 10 of MERS patients found that treatment with ribavirin and interferons significantly increased 90-day mortality risk (adjusted odds ratio: 2.27, 95% CI 1.20-4.32)."
21712,ptnmtvzj,ptnmtvzj3721712,Mortality,"One retrospective study 20 of SARS patients found the 21-day mortality rate was significantly higher in a cohort of patients treated with ribavirin compared to matched historical controls (6.5%, 95% CI 1.9% to 11.8%)."
21719,ptnmtvzj,ptnmtvzj4021719,Mortality,"The two case series 56,57 and one case report 35 that included patients with COVID-19 that used Remdesivir (1 patient), lopinavir/ritonavir (4 cases) and oseltamivir (124 cases) reported 6 deaths in the cohort treated with oseltamivir."
21726,ptnmtvzj,ptnmtvzj3021726,Studies of COVID-19,"He, he was initially treated with vancomycin and cefepime which are standard treatments for suspected community-acquired pneumonia."
21732,ptnmtvzj,ptnmtvzj3121732,Studies of COVID-19,"In one case series 57 , patients (n=4) were treated with a combination of lopinavir/ritonavir, Arbidol (umifenovir), antibiotics, Shufeng Jiedu Capsule (Traditional Chinese Medicine), and intravenous immunoglobulins (Appendix 4)."
21734,ptnmtvzj,ptnmtvzj3121734,Studies of COVID-19,"In the larger case series 56 , 124 patients were treated with oseltamivir combined with antibiotic therapy in 89 patients and combined with glucocorticoids in 62 patients (Appendix 4)."
21735,ptnmtvzj,ptnmtvzj3121735,Studies of COVID-19,"Over the course of the study, 34 patients treated with oseltamivir were admitted to the ICU, 17 of which required invasive mechanical ventilation."
21737,ptnmtvzj,ptnmtvzj4121737,Special Populations,"The four cases reports/series 29,45,46,48 that included immunosuppressed patients with MERS (5 patients) and unspecified coronavirus (29,45,46,48 that included immunosuppressed patients with MERS (5 patients) and unspecified coronavirus) reported 3 deaths all in patients with hematological malignancies treated with foscarnet (n=1) and oseltamivir (n=2)."
21761,ptnmtvzj,ptnmtvzj3521761,ICU Admission,"Of the 21 studies reporting this outcome, one was a randomized trial 6 comparing ribavirin supplemented with hydrocortisone to ribavirin alone; three were cohort studies 14, 15, 17 comparing oseltamivir to steroid treatment alone, ribavirin with continuous steroid treatment to ribavirin with high-dose 'pulse' steroids, and ribavirin to steroid and/or antibiotic treatment; three were retrospective studies 19,20,25 examining the effectiveness of ribavirin and oseltamivir alone or in combination with other drugs; and 14 were case reports/series 33,34,37,40,42,44,45,47,50,51,53,55-57 examining ribavirin, oseltamivir, lopinavir/ritonavir alone or in combination with steroids or antibiotics."
21762,ptnmtvzj,ptnmtvzj3521762,ICU Admission,"None of the trials, cohorts, or retrospective studies demonstrated statistically significant results between any of the comparisons (i.e., in favour of or against the effectiveness of ribavirin, oseltamivir or lopinavir/ritonavir) in reducing the risk of ICU admission for patients with SARS or MERS."
21763,ptnmtvzj,ptnmtvzj3521763,ICU Admission,"The case reports and series were similarly inconclusive, none of the study authors reported a particular advantage for patients with COVID-19, SARS, or MERS treated with ribavirin, oseltamivir, or lopinavir/ritonavir."
21772,ptnmtvzj,ptnmtvzj4621772,DISCUSSION,"There were however important safety signals identified in the included studies, particularly the possible development of anemia and altered liver function in patients receiving ribavirin treatment."
21774,ptnmtvzj,ptnmtvzj4621774,DISCUSSION,This review does show however that the existing body of evidence is weighted heavily towards studies of ribavirin which has shown no particular efficacy in treating coronavirus and may in fact cause harmful adverse effects.
21799,ptnmtvzj,ptnmtvzj4221799,Adverse Events,"In the trial 7 examining the effectiveness of ribavirin/lopinavir/ritonavir compared to no treatment as a prophylactic measure for healthcare workers, treatment-related adverse events were widely reported in the prophylaxis arm, including: GI symptoms (diarrhea n=9, nausea n=9, stomatitis n=4), anemia (n=9), leucopenia (n=8) and hyperbilirubinemia (n=20)."
21801,ptnmtvzj,ptnmtvzj4221801,Adverse Events,"Overall, the most commonly reported adverse events were anemia (n=12 studies) and altered liver function (n=5 studies) in patients treated with ribavirin."
21803,ptnmtvzj,ptnmtvzj4221803,Adverse Events,"It should be noted however, that in the studies reporting cardiac adverse events, hyperglycemia, and mental status changes patients were receiving steroids as well as ribavirin."
21804,ptnmtvzj,ptnmtvzj5121804,"Yu, 2008","A protocol for a multi-centre, double blinded, randomised, placebo-controlled trial on the efficacy and safety of lopinavir/ritonavir plus ribavirin in the treatment of severe acute respiratory syndrome"
22110,h1b0s2wy,h1b0s2wy022110,abstract,We also perform a multivariate cluster analysis of socio-economic indices to identify areas with similar social vulnerability.
22121,h1b0s2wy,h1b0s2wy1522121,Outbreak probability,We computed the outbreak probability per micro-region using two scenarios: The number of travelers per day between micro-regions was computed by adding the air travel data (used to calculate effective distance) and pendular mobility for work and study extracted from the 2010 Census [9] .
22165,h1b0s2wy,h1b0s2wy722165,45,"To measure the mobility between micro-regions, we used daily air travel 50 statistics from the Official Airline Guide (OAG"
22223,h1b0s2wy,h1b0s2wy1022223,Effective distance,"To assess the probability of COVID-19 spreading within the Brazilian ter-70 ritory in the absence of mobility restrictions, we calculated the effective distance (E f (i, j between micro-regions using air travel data."
22243,rgtv9t84,rgtv9t84622243,Role of temperature and relative humidity 155,"183 The relatively high dispersion of the data points in Figure 5 .c for low temperature might be linked 239 to confounding factors, including precipitation, air pollution and improvements in medical facilities."
22256,kwncu3ji,kwncu3ji41422256,IPAC Measures for Residents,"Examples of reasonable and appropriate measures during the course of an outbreak include: •limiting visiting hours; •limiting the number of residents with whom the visitor has contact; •requiring anyone (including visitors, other residents, etc providing direct care toa resident on Additional Precautions to wear the necessary PPE; •requiring visitors to not visit when they have an ARI; •requiring visitors to wear the required PPE when visiting a resident on Additional Precautions and to carefully remove and discard PPE and perform HH upon leaving the room; •requiring residents to wear a gown, masks or other PPE, if they have an ARI and are leaving their room or are within 2 metres of others who are not wearing PPE; •posting signs at entrances of LTCHs and/or affected unit/area, discouraging visitors during the outbreak period; and •notifying persons of the outbreak."
22288,kwncu3ji,kwncu3ji38422288,Linen and laundry items,"Handle, transport, and process used linen or items requiring laundering (for example, clothing) in a manner that avoids contamination of air, surfaces and persons."
22293,kwncu3ji,kwncu3ji26122293,Personal protective equipment (PPE),"Staff must change their PPE and perform hand hygiene after every contact with an ill resident, when moving from one room to another, or from one resident care area to another."
22299,kwncu3ji,kwncu3ji35622299,Resident Monitoring and Restrictions:,"If they leave their room, residents should wear a facemask, perform hand hygiene, limit their movement in the facility, and perform social distancing (stay at least 6 feet away from others)."
22306,kwncu3ji,kwncu3ji35822306,Resident Monitoring and Restrictions:,If the interior of a device is exposed to SARS-CoV from room air-most likely air drawn into the device by a cooling fan-there may be some concern about contamination.
22309,kwncu3ji,kwncu3ji35822309,Resident Monitoring and Restrictions:,"Note, however, that the warm air that is generally circulating inside a device with a cooling fan promotes drying and dilution of contaminants, which may reduce the viability of some viruses."
22313,kwncu3ji,kwncu3ji35922313,Resident Monitoring and Restrictions:,"Such surfaces include the following: Breathing circuits (including ventilator accessories and any portions of the breathing circuit inside ventilators), suction devices and systems, or any other devices that are exposed to the patient's oral secretions (including contaminated condensate), urine, feces, and other excretions HEPA filtration systems, which are installed systems or portable systems (i.e., mobile high-efficiency-filter air cleaners [MHEFACs]) used to control room air contamination levels and ensure negative pressure in isolation rooms Any handheld items or other items that can be found in beds, including nurse call buttons, remote controls for televisions, pillow speakers, blood pressure cuffs, and telemetry transmitters Highest infection concern."
22356,kwncu3ji,kwncu3ji34022356,Communication,"Educate residents and families including: information about COVID-19 actions the facility is taking to protect them and their loved ones, including visitor restrictions actions residents and families can take to protect themselves in the facility Provide Supplies for Recommended Infection Prevention and Control Practices Hand hygiene supplies: Put alcohol-based hand sanitizer with 60-95% alcohol in every resident room (ideally both inside and outside of the room) and other resident care and common areas (e.g., outside dining hall, in therapy gym)."
22411,kwncu3ji,kwncu3ji34722411,212,"When allowed, visitors should be encouraged to frequently perform hand hygiene and limit their movement and interactions with others in the facility (e.g., confine themselves to the resident's room)."
22441,kwncu3ji,kwncu3ji39622441,Re-admission of cases,Other types of waterless products may contain either no alcohol or alcohol in concentrations of less than 60%.
22471,kwncu3ji,kwncu3ji27122471,Environmental measures,Linen should be laundered using hot water and detergent.
22475,kwncu3ji,kwncu3ji27222475,Environmental measures,"Crockery and cutlery should be washed in a dishwasher or if not available, by hand using hot water and detergent, rinsed in hot water and dried."
22500,kwncu3ji,kwncu3ji1822500,DISCUSSION,"However, we were unable to perform an exhaustive grey literature search of websites, due to the timelines imposed on this review."
22573,kwncu3ji,kwncu3ji25822573,Hand hygiene,"However, if hands are visibly soiled or had direct contact with body fluids they should be washed with liquid soap and running water then dried thoroughly with disposable paper towel (refer to Appendices 1.1-1.4, and Hand Hygiene Australia (HHA"
22574,kwncu3ji,kwncu3ji25922574,Hand hygiene,"When visibly soiled with body fluids and/or substances, use water and liquid soap for hand washing."
22586,kwncu3ji,kwncu3ji36322586,Specific Protective Steps,Observe proper hand hygiene Frequent and thorough handwashing with soap and water is essential.
22664,kwncu3ji,kwncu3ji36622664,Respiratory protection,Never blow on the equipment or use compressed air to remove dust or other particulates.
22750,kwncu3ji,kwncu3ji29722750,Notifications,"• The number of residents in the RCF, as well as the number with ILI, their symptoms, date of onset of symptoms, whether reviewed by a GP or medical officer, likely diagnosis, and investigations requested."
22784,kwncu3ji,kwncu3ji32822784,Antiviral use for prophylaxis,"• RCF staff need to be aware of the most common side effects, e.g. for oseltamivir, nausea and vomiting."
22838,kwncu3ji,kwncu3ji25222838,• Review vital signs,"a. Oseltamivir or zanamivir treatment should be administered as soon as the clinical diagnosis of influenza has been made because residents of LTCF are, by definition, at increased risk of complications (6)."
22842,kwncu3ji,kwncu3ji25222842,• Review vital signs,d. The dosage regimens for adults are oseltamivir 75 mg PO BID or zanamivir two inhalations BID.
22849,kwncu3ji,kwncu3ji25322849,• Review vital signs,"a. Upon diagnosis of an influenza outbreak, all residents becoming ill should be treated (vide supra) while all non-ill residents regardless of whether they have received the current seasonal vaccine should be started on chemoprophylaxis with either oseltamivir or zanamivir b. Generally, it is preferable to wait to initiate chemoprophylaxis until laboratory confirmation has been received."
22850,kwncu3ji,kwncu3ji25322850,• Review vital signs,c. The prophylactic doses are oseltamivir 75 mg PO once daily or zanamivir two inhalations once daily for adults.
22862,kwncu3ji,kwncu3ji25422862,• Review vital signs,"b. Residents or staff receiving chemoprophylaxis who develop ILI should be assessed and tested to determine the cause of their illness, which may be due to the current virus, another viral agent or an oseltamivir-(or zanamavir)-resistant influenza virus."
22922,kwncu3ji,kwncu3ji37822922,Implementing infection prevention and control measures 5.2.1 Standard precautions,"• In shared rooms (both cohorted with like illness and residents with and without illness), staff must ensure they change their PPE and perform hand hygiene when moving between residents."
22928,kwncu3ji,kwncu3ji39022928,Visitors and communal activities,• Ask visitors who do visit an ill resident to visit only the ill resident wear PPE as directed by staff enter and leave the facility directly without spending time in communal areas -perform hand hygiene before entering and after leaving the resident's room.
22942,kwncu3ji,kwncu3ji31122942,Collate information onto a line list 203,"• Demographic details of cases (name, age/date of birth, sex, RCF area, etc."
22943,kwncu3ji,kwncu3ji31122943,Collate information onto a line list 203,"• Symptomsonset date, type, and duration."
22972,kwncu3ji,kwncu3ji31822972,Collate information onto a line list 203,"In reality, a small number of people often perform multiple roles and undertake many tasks."
23000,kwncu3ji,kwncu3ji29123000,Visitor restriction and signage,o Use an alcohol-based hand rub or wash their hands before and after visiting.
23065,kwncu3ji,kwncu3ji38523065,Eating utensils,"Crockery and cutlery should be washed in a dishwasher or if not available by hand using hot water and detergent, rinsed in hot water and dried."
23647,9032hh5c,9032hh5c2423647,Italian COVID-19 epidemic,Considering a constant rate for the number of contacts per person and also a constant kinetic of death before the date of lockdown (between the 26 th of February and the 11 th of March).
23856,4kzv06e6,4kzv06e61223856,Regression analysis,We perform multiple ecological regression analysis to find associations between healthcare worker absenteeism and known COVID-19 complicating factors.
23896,4kzv06e6,4kzv06e6923896,Absenteeism estimation,We also perform different absenteeism estimations based on the different model assumptions proposed in the previous step.
23917,t5iz3vdz,t5iz3vdz223917,Introduction 44,"We then examined the mutational spectra induced by NHC, which can be 175 incorporated into viral RNA as a substitution for either cytosine (C) or Uridine (U)."
23924,t5iz3vdz,t5iz3vdz223924,Introduction 44,"We first 189 performed a prophylactic dose escalation study in C57BL/6 mice where we orally 190 administered vehicle (10% PEG, 2.5% Cremophor RH40 in water) or 50, 150 or 500 191 mg/kg EIDD-2801 2hr prior to intranasal infection with 5E+04 PFU of mouse-adapted 192 SARS-CoV (SARS-MA15), and then every 12hr thereafter."
23939,t5iz3vdz,t5iz3vdz623939,Introduction 44,"Lastly, we blindly evaluated hematoxylin and eosin stained lung tissue 226 sections for histological features of ALI using two different and complementary scoring 227 tools 15 , which show that treatment initiated up to +12hr significantly reduced ALI ( We then evaluated the therapeutic efficacy EIDD-2801 following the promising 245 results of our prophylactic studies."
23976,t5iz3vdz,t5iz3vdz1223976,Introduction 44,"Proteinaceous debris in air spaces (none = 0, one instance = 1, > 1 instance = 2), (E) 550 alveolar septal thickening (< 2× mock thickness = 0, 2-4× mock thickness = 1, > 4× 551 mock thickness = 2)."
24003,vlqd192g,vlqd192g724003,HIV-1 detection by AIOD-CRISPR assay.,The HIV RNA target is a 1057-nt fragment of gag (p24 included) gene prepared using T7 promotor-tagged RT-PCR and T7 RNA polymerase-based transcription ( Figure S4A) .
24007,vlqd192g,vlqd192g724007,HIV-1 detection by AIOD-CRISPR assay.,"Furthermore, we investigated the sensitivity of our RT-AIOD-CRISPR assay using 1.1× 10 0 ,1.1× 10 1 , 1.1× 10 3 , and 1.1× 10 5 copies of HIV-1 gag RNA templates."
24011,vlqd192g,vlqd192g724011,HIV-1 detection by AIOD-CRISPR assay.,"In addition to assaying artificial HIV-1 gag RNA, we also analysed RT-AIOD-CRISPR's performance using HIV-1 RNA extracted from plasma samples."
24050,vlqd192g,vlqd192g124050,Introduction,"11, 12 For example, some Cas nucleases (e.g., Cas12a, Cas12b and Cas13a) perform strong collateral cleavage activities in which a crRNA-targetbinding activated Cas can indiscriminately cleave surrounding non-target single-stranded nucleic acids."
24068,vlqd192g,vlqd192g324068,AIOD-CRISPR assay system. As shown in,The ssDNA-FQ reporter was a 5 nt oligonucleotide (5'-TTATT-3') labelled by 5' 6-FAM (Fluorescein) fluorophore and 3' Iowa Black ® FQ quencher.
24070,vlqd192g,vlqd192g324070,AIOD-CRISPR assay system. As shown in,"Interestingly, even under ambient light environment without any excitation, a color change from orange-yellow to green was observed in the reaction tube # 5 by naked eyes."
24117,yi6yu5l1,yi6yu5l1024117,abstract,"With over 200,000 29 confirmed cases to date, this pandemic continues to expand, spurring research to discover 30 vaccines and therapies."
24125,yi6yu5l1,yi6yu5l11724125,GPU-accelerated molecular dynamic simulation 174,"The co-crystal structure of SARS-CoV-2-RBD with ACE2-B 0 AT1 (PDB: 6M17) was chosen as the 175 initial structure, which was explicitly solvated in an 87 Å 3 box, to perform a 200 ns molecular 176 dynamical (MD) simulation using NAMD on MIT's supercomputing clusters (GPU node)."
24128,yi6yu5l1,yi6yu5l1524128,Molecular dynamic simulations guide peptide binder design 91,"Using the Amber force field [12], a helical peptide sequence (spike-binding peptide 1, 92 SBP1) derived from the α1 helix of ACE2 peptidase domain (ACE2-PD"
24129,yi6yu5l1,yi6yu5l1624129,Molecular dynamic simulations guide peptide binder design 91,CoV-2-RBD was simulated under TIP3P explicit water conditions.
24144,yi6yu5l1,yi6yu5l11124144,120,"Peptides, on the other hand, 127 display a larger surface area and chemical functionalities that can mimic and disrupt the native 128 PPI, as is the case for the clinically approved HIV peptide drug Fuzeon [14, 15] ."
24163,yi6yu5l1,yi6yu5l11824163,Peptide cleavage and deprotection 192,"Next day, approximately 5 mL of cleavage solution (94% TFA, 194 1% TIPS, 2.5% EDT, 2.5% water) was added into the syringe containing the resin."
24219,ld0vo1rl,ld0vo1rl224219,Introduction,RV has been successfully applied to vaccine 92 discovery for pathogens such as Group B meningococcus and led to the license Bexsero 93 vaccine 12 .
24295,wxagjqbt,wxagjqbt424295,Results,"Each peptide was measured with urea in 4 different concentrations (0M, 2M, 4M, 6M), and we observed an average standard deviation between replicates of 0.10 with an average mean of 0.56."
24330,wxagjqbt,wxagjqbt924330,Discussion,"To test the hypothesis that training data is limiting for tool performance, we trained a vanilla NN on only 2,193 historic in-house stability measurements, and found that our model outperformed all tested prediction tools in this setting."
24343,wxagjqbt,wxagjqbt1824343,NeoScreen Ⓡ assay,The NeoScreen Ⓡ stability assay utilises urea denaturation to assess peptide:MHC complex stability.
24346,wxagjqbt,wxagjqbt1824346,NeoScreen Ⓡ assay,"For MHC II, the urea-denatured alpha and beta chains were diluted into an assay buffer and added at a 1:1 ratio to diluted peptides."
24348,wxagjqbt,wxagjqbt1824348,NeoScreen Ⓡ assay,"Upon folding, peptide:MHC complexes were transferred to 384 well plates where they were challenged with 4 different urea concentrations."
24349,wxagjqbt,wxagjqbt1824349,NeoScreen Ⓡ assay,Following the period of urea-induced stress the plates were developed in a conventional ELISA as described previously Sylvester-Hvid et al. 2002) .
24375,wxagjqbt,wxagjqbt1524375,Data availability,"Peptides were synthesised using standard Fmoc solid-phase synthesis on a modified cellulose support as solid support according to the SPOT synthesis protocol, starting with the acid labile Ramage linker."
24625,50oy9qqy,50oy9qqy2224625,Discussion,"Furthermore, there is very little literature to date modeling the spatial information of the quantitative CT data and considering the time-series information of patients."
24640,50oy9qqy,50oy9qqy2424640,Discussion,"Using the richer original features included in pixel-wise segmentation results of the CT scans, the predictive model may perform better."
24681,50oy9qqy,50oy9qqy124681,Introduction,None of them used AI-based methods for progression prediction of mild COVID-19 patients up to date.
24748,ela022bo,ela022bo1824748,An independent estimate of imported cases from Italy,"Using the data available from INSTAT (11) , about the yearly travel fluxes between Albania and Italy via air (1.7 million passengers) and by sea (1.6 million passengers), we obtain a total of 1.65 million arriving passengers on average from Italy to Albania in one year."
24750,ela022bo,ela022bo1824750,An independent estimate of imported cases from Italy,"Thus, during the month prior to the first case in Albania, about 130.000 thousand passengers are expected to have arrived to Albania from Italy via air and sea."
24902,3wegrnyn,3wegrnyn924902,Conclusion,"The infection risk associated with international air travel is impossible to predict, as reported cases in a region might be only a fraction of the true case load, and also because the infection pressure in tourist destinations might be several fold higher than the overall pressure in a region."
25109,nz02frdm,nz02frdm2825109,Disinfection and wastes disposal,"The medical devices, surface of the items and ground were disinfected daily with disinfectant containing chlorine 500-2000 mg/L or 75% alcohol in the fever clinic and the room with suspected or confirmed case."
25135,pwumjw7a,pwumjw7a025135,abstract,"Indepth analysis showed that the level of S1 IgG positively correlate to age and the level of LDH (lactate dehydrogenase), especially for women, while the level of S1 IgG negatively correlate to Ly% (Lymphocyte percentage)."
